Parentgene	Type	Number	Frequency
C1orf43	Loss	0	0.0000
C4orf7	Germline	0	0.0000
C4orf7	Somatic	1	0.0015
C4orf7	Loss	0	0.0000
C6orf89	Germline	0	0.0000
C6orf89	Somatic	1	0.0015
C6orf89	Loss	0	0.0000
C7orf31	Germline	0	0.0000
C7orf31	Somatic	1	0.0015
C7orf31	Loss	0	0.0000
C9orf46	Germline	0	0.0000
C9orf46	Somatic	1	0.0015
C9orf46	Loss	0	0.0000
CAMTA1	Germline	2	0.0015
CAMTA1	Somatic	0	0.0000
CAMTA1	Loss	0	0.0000
CASP8	Germline	74	0.0558
CASP8	Somatic	2	0.0030
CASP8	Loss	0	0.0000
CAST	Germline	0	0.0000
CAST	Somatic	1	0.0015
CAST	Loss	0	0.0000
CBWD2	Germline	0	0.0000
CBWD2	Somatic	1	0.0015
CBWD2	Loss	0	0.0000
CBX3	Germline	1230	0.9276
CBX3	Somatic	1	0.0015
CBX3	Loss	0	0.0000
CCNC	Germline	2	0.0015
CCNC	Somatic	0	0.0000
CCNC	Loss	0	0.0000
CCT2	Germline	0	0.0000
CCT2	Somatic	1	0.0015
CCT2	Loss	0	0.0000
CCT4	Germline	0	0.0000
CCT4	Somatic	1	0.0015
CCT4	Loss	0	0.0000
CCT7	Germline	0	0.0000
CCT7	Somatic	1	0.0015
CCT7	Loss	0	0.0000
CD47	Germline	0	0.0000
CD47	Somatic	1	0.0015
CD47	Loss	0	0.0000
CD63	Germline	0	0.0000
CD63	Somatic	1	0.0015
CD63	Loss	0	0.0000
CD9	Germline	0	0.0000
CD9	Somatic	1	0.0015
CD9	Loss	0	0.0000
CDC23	Germline	0	0.0000
CDC23	Somatic	1	0.0015
CDC23	Loss	0	0.0000
CDC42BPB	Germline	0	0.0000
CDC42BPB	Somatic	1	0.0015
CDC42BPB	Loss	0	0.0000
CDK7	Germline	0	0.0000
CDK7	Somatic	1	0.0015
CDK7	Loss	0	0.0000
CEBPG	Germline	0	0.0000
CEBPG	Somatic	1	0.0015
CEBPG	Loss	0	0.0000
CENPE	Germline	0	0.0000
CENPE	Somatic	1	0.0015
CENPE	Loss	0	0.0000
CENPF	Germline	0	0.0000
CENPF	Somatic	6	0.0090
CENPF	Loss	0	0.0000
CFLAR	Germline	2	0.0015
CFLAR	Somatic	0	0.0000
CFLAR	Loss	0	0.0000
CHCHD2	Germline	0	0.0000
CHCHD2	Somatic	1	0.0015
CHCHD2	Loss	0	0.0000
CHCHD7	Germline	0	0.0000
CHCHD7	Somatic	1	0.0015
CHCHD7	Loss	0	0.0000
CHD3	Germline	0	0.0000
CHD3	Somatic	4	0.0060
CHD3	Loss	0	0.0000
CHD4	Germline	0	0.0000
CHD4	Somatic	2	0.0030
CHD4	Loss	0	0.0000
CHMP4C	Germline	6	0.0045
CHMP4C	Somatic	0	0.0000
CHMP4C	Loss	0	0.0000
CISD2	Germline	0	0.0000
CISD2	Somatic	1	0.0015
CISD2	Loss	0	0.0000
CKS1B	Germline	0	0.0000
CKS1B	Somatic	1	0.0015
CKS1B	Loss	0	0.0000
CKS2	Germline	0	0.0000
CKS2	Somatic	1	0.0015
CKS2	Loss	0	0.0000
CLIC2	Germline	0	0.0000
CLIC2	Somatic	1	0.0015
CLIC2	Loss	0	0.0000
CLN6	Germline	0	0.0000
CLN6	Somatic	1	0.0015
CLN6	Loss	0	0.0000
CMPK1	Germline	0	0.0000
CMPK1	Somatic	1	0.0015
CMPK1	Loss	0	0.0000
CNBP	Germline	0	0.0000
CNBP	Somatic	1	0.0015
CNBP	Loss	0	0.0000
CNIH	Germline	0	0.0000
CNIH	Somatic	1	0.0015
CNIH	Loss	0	0.0000
CNN2	Germline	0	0.0000
CNN2	Somatic	1	0.0015
CNN2	Loss	0	0.0000
COL17A1	Germline	0	0.0000
COL17A1	Somatic	1	0.0015
COL17A1	Loss	0	0.0000
COL6A3	Germline	6	0.0045
COL6A3	Somatic	3	0.0045
COL6A3	Loss	0	0.0000
COMMD8	Germline	0	0.0000
COMMD8	Somatic	2	0.0030
COMMD8	Loss	0	0.0000
COX5B	Germline	0	0.0000
COX5B	Somatic	1	0.0015
COX5B	Loss	0	0.0000
COX6A1	Germline	0	0.0000
COX6A1	Somatic	1	0.0015
COX6A1	Loss	0	0.0000
COX6B1	Germline	2	0.0015
COX6B1	Somatic	1	0.0015
COX6B1	Loss	0	0.0000
COX7C	Germline	16	0.0121
COX7C	Somatic	1	0.0015
COX7C	Loss	0	0.0000
COX8A	Germline	0	0.0000
COX8A	Somatic	1	0.0015
COX8A	Loss	0	0.0000
CPNE8	Germline	0	0.0000
CPNE8	Somatic	1	0.0015
CPNE8	Loss	0	0.0000
CR627148	Germline	0	0.0000
CR627148	Somatic	2	0.0030
CR627148	Loss	2	0.0030
CRIP1	Germline	0	0.0000
CRIP1	Somatic	1	0.0015
CRIP1	Loss	0	0.0000
CRIPT	Germline	0	0.0000
CRIPT	Somatic	1	0.0015
CRIPT	Loss	0	0.0000
CRYAB	Germline	0	0.0000
CRYAB	Somatic	1	0.0015
CRYAB	Loss	0	0.0000
CST3	Germline	0	0.0000
CST3	Somatic	1	0.0015
CST3	Loss	0	0.0000
CSTA	Germline	2	0.0015
CSTA	Somatic	6	0.0090
CSTA	Loss	0	0.0000
CXCL14	Germline	0	0.0000
CXCL14	Somatic	1	0.0015
CXCL14	Loss	0	0.0000
CYCS	Germline	0	0.0000
CYCS	Somatic	4	0.0060
CYCS	Loss	1	0.0015
DCP2	Germline	0	0.0000
DCP2	Somatic	1	0.0015
DCP2	Loss	0	0.0000
DDT	Germline	4	0.0030
DDT	Somatic	0	0.0000
DDT	Loss	0	0.0000
DDX39B	Germline	0	0.0000
DDX39B	Somatic	1	0.0015
DDX39B	Loss	0	0.0000
DEK	Germline	0	0.0000
DEK	Somatic	1	0.0015
DEK	Loss	0	0.0000
DHX38	Germline	0	0.0000
DHX38	Somatic	1	0.0015
DHX38	Loss	0	0.0000
DIAPH1	Germline	0	0.0000
DIAPH1	Somatic	1	0.0015
DIAPH1	Loss	0	0.0000
DKFZp434G072	Germline	0	0.0000
DKFZp434G072	Somatic	1	0.0015
DKFZp434G072	Loss	0	0.0000
DKFZp566G013	Germline	0	0.0000
DKFZp566G013	Somatic	2	0.0030
DKFZp566G013	Loss	0	0.0000
DNAJB11	Germline	0	0.0000
DNAJB11	Somatic	1	0.0015
DNAJB11	Loss	0	0.0000
DNAJC19	Germline	0	0.0000
DNAJC19	Somatic	1	0.0015
DNAJC19	Loss	0	0.0000
DNTTIP2	Germline	0	0.0000
DNTTIP2	Somatic	1	0.0015
DNTTIP2	Loss	0	0.0000
DOK4	Germline	0	0.0000
DOK4	Somatic	1	0.0015
DOK4	Loss	0	0.0000
DPCR1	Germline	0	0.0000
DPCR1	Somatic	1	0.0015
DPCR1	Loss	0	0.0000
DPH3	Germline	0	0.0000
DPH3	Somatic	1	0.0015
DPH3	Loss	0	0.0000
DPY19L4	Germline	0	0.0000
DPY19L4	Somatic	1	0.0015
DPY19L4	Loss	0	0.0000
DSC3	Germline	0	0.0000
DSC3	Somatic	1	0.0015
DSC3	Loss	0	0.0000
DSCC1	Germline	0	0.0000
DSCC1	Somatic	1	0.0015
DSCC1	Loss	0	0.0000
DSP	Germline	0	0.0000
DSP	Somatic	1	0.0015
DSP	Loss	0	0.0000
DSTN	Germline	0	0.0000
DSTN	Somatic	2	0.0030
DSTN	Loss	0	0.0000
DUSP14	Germline	0	0.0000
DUSP14	Somatic	1	0.0015
DUSP14	Loss	0	0.0000
DUT	Germline	0	0.0000
DUT	Somatic	1	0.0015
DUT	Loss	0	0.0000
DUX2	Germline	176	0.1327
DUX2	Somatic	2	0.0030
DUX2	Loss	0	0.0000
DUX4L3	Germline	38	0.0287
DUX4L3	Somatic	1	0.0015
DUX4L3	Loss	2	0.0030
DUX4L4	Germline	30	0.0226
DUX4L4	Somatic	0	0.0000
DUX4L4	Loss	0	0.0000
E2F6	Germline	2	0.0015
E2F6	Somatic	0	0.0000
E2F6	Loss	0	0.0000
ECHS1	Germline	0	0.0000
ECHS1	Somatic	1	0.0015
ECHS1	Loss	0	0.0000
EEF1A1	Germline	0	0.0000
EEF1A1	Somatic	5	0.0075
EEF1A1	Loss	0	0.0000
EFCAB2	Germline	0	0.0000
EFCAB2	Somatic	1	0.0015
EFCAB2	Loss	0	0.0000
EGFR	Germline	0	0.0000
EGFR	Somatic	1	0.0015
EGFR	Loss	0	0.0000
EIF1	Germline	0	0.0000
EIF1	Somatic	1	0.0015
EIF1	Loss	0	0.0000
EIF2S1	Germline	0	0.0000
EIF2S1	Somatic	1	0.0015
EIF2S1	Loss	0	0.0000
EIF3A	Germline	0	0.0000
EIF3A	Somatic	2	0.0030
EIF3A	Loss	0	0.0000
EIF3B	Germline	0	0.0000
EIF3B	Somatic	1	0.0015
EIF3B	Loss	0	0.0000
EIF3E	Germline	0	0.0000
EIF3E	Somatic	3	0.0045
EIF3E	Loss	0	0.0000
EIF3H	Germline	0	0.0000
EIF3H	Somatic	1	0.0015
EIF3H	Loss	0	0.0000
EIF4A1	Germline	2	0.0015
EIF4A1	Somatic	10	0.0151
EIF4A1	Loss	0	0.0000
ELOF1	Germline	0	0.0000
ELOF1	Somatic	1	0.0015
ELOF1	Loss	0	0.0000
EMP1	Germline	0	0.0000
EMP1	Somatic	1	0.0015
EMP1	Loss	0	0.0000
ESCO2	Germline	0	0.0000
ESCO2	Somatic	1	0.0015
ESCO2	Loss	0	0.0000
EXOC1	Germline	0	0.0000
EXOC1	Somatic	1	0.0015
EXOC1	Loss	0	0.0000
FABP5	Germline	2	0.0015
FABP5	Somatic	2	0.0030
FABP5	Loss	0	0.0000
FAM108A1	Germline	30	0.0226
FAM108A1	Somatic	1	0.0015
FAM108A1	Loss	0	0.0000
FAM162A	Germline	0	0.0000
FAM162A	Somatic	1	0.0015
FAM162A	Loss	0	0.0000
FAM182A	Germline	2	0.0015
FAM182A	Somatic	0	0.0000
FAM182A	Loss	0	0.0000
FAM199X	Germline	0	0.0000
FAM199X	Somatic	1	0.0015
FAM199X	Loss	0	0.0000
FAM21A	Germline	0	0.0000
FAM21A	Somatic	1	0.0015
FAM21A	Loss	0	0.0000
FAM21B	Germline	0	0.0000
FAM21B	Somatic	1	0.0015
FAM21B	Loss	0	0.0000
FAM36A	Germline	0	0.0000
FAM36A	Somatic	1	0.0015
FAM36A	Loss	0	0.0000
FAM95B1	Germline	0	0.0000
FAM95B1	Somatic	3	0.0045
FAM95B1	Loss	0	0.0000
FAM96B	Germline	0	0.0000
FAM96B	Somatic	1	0.0015
