Parentgene	Type	Number	Frequency
MBD2	Somatic	1	0.0015
MBD2	Loss	0	0.0000
MBNL1	Germline	0	0.0000
MBNL1	Somatic	1	0.0015
MBNL1	Loss	0	0.0000
MCM6	Germline	0	0.0000
MCM6	Somatic	1	0.0015
MCM6	Loss	0	0.0000
MCTP2	Germline	414	0.3122
MCTP2	Somatic	0	0.0000
MCTP2	Loss	1	0.0015
MCTS1	Germline	0	0.0000
MCTS1	Somatic	1	0.0015
MCTS1	Loss	0	0.0000
METAP1	Germline	0	0.0000
METAP1	Somatic	1	0.0015
METAP1	Loss	0	0.0000
METTL9	Germline	0	0.0000
METTL9	Somatic	1	0.0015
METTL9	Loss	0	0.0000
MFF	Germline	34	0.0256
MFF	Somatic	0	0.0000
MFF	Loss	0	0.0000
MGST1	Germline	0	0.0000
MGST1	Somatic	1	0.0015
MGST1	Loss	0	0.0000
MMADHC	Germline	0	0.0000
MMADHC	Somatic	1	0.0015
MMADHC	Loss	0	0.0000
MORF4L2	Germline	0	0.0000
MORF4L2	Somatic	1	0.0015
MORF4L2	Loss	0	0.0000
MOSPD1	Germline	0	0.0000
MOSPD1	Somatic	1	0.0015
MOSPD1	Loss	0	0.0000
MOXD1	Germline	0	0.0000
MOXD1	Somatic	1	0.0015
MOXD1	Loss	0	0.0000
MP68	Germline	0	0.0000
MP68	Somatic	1	0.0015
MP68	Loss	0	0.0000
MPHOSPH9	Germline	0	0.0000
MPHOSPH9	Somatic	1	0.0015
MPHOSPH9	Loss	0	0.0000
MPZL1	Germline	0	0.0000
MPZL1	Somatic	1	0.0015
MPZL1	Loss	0	0.0000
MRP63	Germline	0	0.0000
MRP63	Somatic	1	0.0015
MRP63	Loss	0	0.0000
MRPL10	Germline	0	0.0000
MRPL10	Somatic	1	0.0015
MRPL10	Loss	0	0.0000
MRPL14	Germline	0	0.0000
MRPL14	Somatic	1	0.0015
MRPL14	Loss	0	0.0000
MRPL32	Germline	0	0.0000
MRPL32	Somatic	2	0.0030
MRPL32	Loss	0	0.0000
MRPL47	Germline	0	0.0000
MRPL47	Somatic	1	0.0015
MRPL47	Loss	0	0.0000
MRPL52	Germline	2	0.0015
MRPL52	Somatic	0	0.0000
MRPL52	Loss	0	0.0000
MRPS10	Germline	0	0.0000
MRPS10	Somatic	1	0.0015
MRPS10	Loss	0	0.0000
MRPS14	Germline	0	0.0000
MRPS14	Somatic	2	0.0030
MRPS14	Loss	0	0.0000
MSH2	Germline	0	0.0000
MSH2	Somatic	1	0.0015
MSH2	Loss	0	0.0000
MSMB	Germline	0	0.0000
MSMB	Somatic	1	0.0015
MSMB	Loss	0	0.0000
MT1G	Germline	0	0.0000
MT1G	Somatic	2	0.0030
MT1G	Loss	0	0.0000
MTDH	Germline	0	0.0000
MTDH	Somatic	1	0.0015
MTDH	Loss	0	0.0000
MTHFD1	Germline	0	0.0000
MTHFD1	Somatic	1	0.0015
MTHFD1	Loss	0	0.0000
MTL5	Germline	0	0.0000
MTL5	Somatic	1	0.0015
MTL5	Loss	0	0.0000
MTR	Germline	8	0.0060
MTR	Somatic	0	0.0000
MTR	Loss	0	0.0000
MYH11	Germline	0	0.0000
MYH11	Somatic	1	0.0015
MYH11	Loss	0	0.0000
MYH9	Germline	0	0.0000
MYH9	Somatic	13	0.0196
MYH9	Loss	0	0.0000
MYO5A	Germline	0	0.0000
MYO5A	Somatic	1	0.0015
MYO5A	Loss	0	0.0000
NAE1	Germline	0	0.0000
NAE1	Somatic	1	0.0015
NAE1	Loss	0	0.0000
NBPF9	Germline	2	0.0015
NBPF9	Somatic	1	0.0015
NBPF9	Loss	0	0.0000
NCAPG2	Germline	0	0.0000
NCAPG2	Somatic	1	0.0015
NCAPG2	Loss	0	0.0000
NCL	Germline	0	0.0000
NCL	Somatic	1	0.0015
NCL	Loss	0	0.0000
NDUFA1	Germline	0	0.0000
NDUFA1	Somatic	2	0.0030
NDUFA1	Loss	0	0.0000
NDUFA12	Germline	0	0.0000
NDUFA12	Somatic	1	0.0015
NDUFA12	Loss	0	0.0000
NDUFA3	Germline	0	0.0000
NDUFA3	Somatic	1	0.0015
NDUFA3	Loss	0	0.0000
NDUFA4	Germline	0	0.0000
NDUFA4	Somatic	3	0.0045
NDUFA4	Loss	0	0.0000
NDUFA6	Germline	0	0.0000
NDUFA6	Somatic	1	0.0015
NDUFA6	Loss	0	0.0000
NDUFAB1	Germline	0	0.0000
NDUFAB1	Somatic	1	0.0015
NDUFAB1	Loss	0	0.0000
NDUFB6	Germline	0	0.0000
NDUFB6	Somatic	1	0.0015
NDUFB6	Loss	0	0.0000
NDUFB8	Germline	0	0.0000
NDUFB8	Somatic	1	0.0015
NDUFB8	Loss	0	0.0000
NDUFC1	Germline	0	0.0000
NDUFC1	Somatic	3	0.0045
NDUFC1	Loss	0	0.0000
NEDD8	Germline	0	0.0000
NEDD8	Somatic	3	0.0045
NEDD8	Loss	0	0.0000
NETO2	Germline	0	0.0000
NETO2	Somatic	1	0.0015
NETO2	Loss	0	0.0000
NFE2L2	Germline	0	0.0000
NFE2L2	Somatic	1	0.0015
NFE2L2	Loss	0	0.0000
NHP2L1	Germline	0	0.0000
NHP2L1	Somatic	2	0.0030
NHP2L1	Loss	0	0.0000
NIP7	Germline	0	0.0000
NIP7	Somatic	2	0.0030
NIP7	Loss	0	0.0000
NNT	Germline	0	0.0000
NNT	Somatic	1	0.0015
NNT	Loss	0	0.0000
NOC3L	Germline	2	0.0015
NOC3L	Somatic	0	0.0000
NOC3L	Loss	0	0.0000
NOL8	Germline	0	0.0000
NOL8	Somatic	1	0.0015
NOL8	Loss	0	0.0000
NOP56	Germline	0	0.0000
NOP56	Somatic	1	0.0015
NOP56	Loss	0	0.0000
NPC2	Germline	0	0.0000
NPC2	Somatic	1	0.0015
NPC2	Loss	0	0.0000
NPDC1	Germline	0	0.0000
NPDC1	Somatic	1	0.0015
NPDC1	Loss	0	0.0000
NPTN	Germline	0	0.0000
NPTN	Somatic	1	0.0015
NPTN	Loss	0	0.0000
NSL1	Germline	0	0.0000
NSL1	Somatic	1	0.0015
NSL1	Loss	0	0.0000
NT5DC1	Germline	0	0.0000
NT5DC1	Somatic	1	0.0015
NT5DC1	Loss	0	0.0000
NTS	Germline	2	0.0015
NTS	Somatic	1	0.0015
NTS	Loss	0	0.0000
NUS1	Germline	4	0.0030
NUS1	Somatic	0	0.0000
NUS1	Loss	0	0.0000
NUSAP1	Germline	0	0.0000
NUSAP1	Somatic	2	0.0030
NUSAP1	Loss	0	0.0000
NXF5	Germline	2	0.0015
NXF5	Somatic	0	0.0000
NXF5	Loss	0	0.0000
ODC1	Germline	0	0.0000
ODC1	Somatic	1	0.0015
ODC1	Loss	0	0.0000
OMA1	Germline	0	0.0000
OMA1	Somatic	1	0.0015
OMA1	Loss	0	0.0000
OSBPL9	Germline	0	0.0000
OSBPL9	Somatic	1	0.0015
OSBPL9	Loss	0	0.0000
OSGEPL1	Germline	0	0.0000
OSGEPL1	Somatic	1	0.0015
OSGEPL1	Loss	0	0.0000
PAICS	Germline	2	0.0015
PAICS	Somatic	0	0.0000
PAICS	Loss	0	0.0000
PANK3	Germline	6	0.0045
PANK3	Somatic	0	0.0000
PANK3	Loss	0	0.0000
PAPD4	Germline	0	0.0000
PAPD4	Somatic	1	0.0015
PAPD4	Loss	0	0.0000
PARP1	Germline	0	0.0000
PARP1	Somatic	1	0.0015
PARP1	Loss	0	0.0000
PARP11	Germline	0	0.0000
PARP11	Somatic	1	0.0015
PARP11	Loss	0	0.0000
PCM1	Germline	0	0.0000
PCM1	Somatic	1	0.0015
PCM1	Loss	0	0.0000
PCMT1	Germline	0	0.0000
PCMT1	Somatic	1	0.0015
PCMT1	Loss	0	0.0000
PDCD10	Germline	0	0.0000
PDCD10	Somatic	1	0.0015
PDCD10	Loss	0	0.0000
PDCD5	Germline	0	0.0000
PDCD5	Somatic	1	0.0015
PDCD5	Loss	0	0.0000
PDCL3	Germline	2	0.0015
PDCL3	Somatic	2	0.0030
PDCL3	Loss	0	0.0000
PEBP1	Germline	0	0.0000
PEBP1	Somatic	1	0.0015
PEBP1	Loss	0	0.0000
PERP	Germline	0	0.0000
PERP	Somatic	2	0.0030
PERP	Loss	0	0.0000
PEX1	Germline	0	0.0000
PEX1	Somatic	1	0.0015
PEX1	Loss	0	0.0000
PFAAP5	Germline	0	0.0000
PFAAP5	Somatic	1	0.0015
PFAAP5	Loss	0	0.0000
PGK1	Germline	0	0.0000
PGK1	Somatic	1	0.0015
PGK1	Loss	0	0.0000
PGM2	Germline	0	0.0000
PGM2	Somatic	1	0.0015
PGM2	Loss	0	0.0000
PHSECRG2	Germline	0	0.0000
PHSECRG2	Somatic	1	0.0015
PHSECRG2	Loss	0	0.0000
PIAS4	Germline	0	0.0000
PIAS4	Somatic	1	0.0015
PIAS4	Loss	0	0.0000
PITPNB	Germline	0	0.0000
PITPNB	Somatic	1	0.0015
PITPNB	Loss	0	0.0000
PJA2	Germline	0	0.0000
PJA2	Somatic	1	0.0015
PJA2	Loss	0	0.0000
PKP4	Germline	0	0.0000
PKP4	Somatic	1	0.0015
PKP4	Loss	0	0.0000
PLCD1	Germline	2	0.0015
PLCD1	Somatic	0	0.0000
PLCD1	Loss	0	0.0000
PLEKHA1	Germline	0	0.0000
PLEKHA1	Somatic	1	0.0015
PLEKHA1	Loss	0	0.0000
PLRG1	Germline	0	0.0000
PLRG1	Somatic	1	0.0015
PLRG1	Loss	0	0.0000
PNAS-108	Germline	0	0.0000
PNAS-108	Somatic	2	0.0030
PNAS-108	Loss	0	0.0000
POLD3	Germline	0	0.0000
POLD3	Somatic	2	0.0030
POLD3	Loss	0	0.0000
POLR2F	Germline	0	0.0000
POLR2F	Somatic	1	0.0015
POLR2F	Loss	0	0.0000
POLR2H	Germline	0	0.0000
POLR2H	Somatic	1	0.0015
POLR2H	Loss	0	0.0000
POLR2K	Germline	0	0.0000
POLR2K	Somatic	1	0.0015
POLR2K	Loss	0	0.0000
PPA2	Germline	0	0.0000
PPA2	Somatic	1	0.0015
PPA2	Loss	0	0.0000
PPAP2B	Germline	0	0.0000
PPAP2B	Somatic	1	0.0015
PPAP2B	Loss	0	0.0000
PPDPF	Germline	0	0.0000
PPDPF	Somatic	6	0.0090
PPDPF	Loss	0	0.0000
PPIA	Germline	14	0.0106
PPIA	Somatic	0	0.0000
PPIA	Loss	0	0.0000
PPP1CA	Germline	0	0.0000
PPP1CA	Somatic	2	0.0030
PPP1CA	Loss	0	0.0000
PPP1R14B	Germline	0	0.0000
PPP1R14B	Somatic	1	0.0015
PPP1R14B	Loss	0	0.0000
PPP2R5C	Germline	0	0.0000
PPP2R5C	Somatic	1	0.0015
PPP2R5C	Loss	0	0.0000
PQBP1	Germline	2	0.0015
PQBP1	Somatic	0	0.0000
PQBP1	Loss	0	0.0000
PRELID2	Germline	0	0.0000
PRELID2	Somatic	1	0.0015
PRELID2	Loss	0	0.0000
PRKAG1	Germline	0	0.0000
PRKAG1	Somatic	1	0.0015
PRKAG1	Loss	0	0.0000
PRPF3	Germline	0	0.0000
PRPF3	Somatic	1	0.0015
PRPF3	Loss	0	0.0000
PRSS1	Germline	2	0.0015
PRSS1	Somatic	7	0.0106
PRSS1	Loss	0	0.0000
PSMA3	Germline	0	0.0000
PSMA3	Somatic	1	0.0015
PSMA3	Loss	0	0.0000
PSMA7	Germline	0	0.0000
PSMA7	Somatic	1	0.0015
PSMA7	Loss	0	0.0000
PSMB3	Germline	0	0.0000
PSMB3	Somatic	1	0.0015
PSMB3	Loss	0	0.0000
PSMD6	Germline	0	0.0000
PSMD6	Somatic	1	0.0015
PSMD6	Loss	0	0.0000
PSMD8	Germline	0	0.0000
PSMD8	Somatic	1	0.0015
PSMD8	Loss	0	0.0000
PSME3	Germline	0	0.0000
PSME3	Somatic	2	0.0030
PSME3	Loss	0	0.0000
PTER	Germline	0	0.0000
PTER	Somatic	1	0.0015
PTER	Loss	0	0.0000
PTP4A2	Germline	0	0.0000
PTP4A2	Somatic	1	0.0015
PTP4A2	Loss	0	0.0000
PTPN12	Germline	0	0.0000
PTPN12	Somatic	1	0.0015
PTPN12	Loss	0	0.0000
PTPN13	Germline	0	0.0000
PTPN13	Somatic	1	0.0015
PTPN13	Loss	0	0.0000
PTTG1	Germline	0	0.0000
PTTG1	Somatic	2	0.0030
PTTG1	Loss	0	0.0000
PYCARD	Germline	0	0.0000
PYCARD	Somatic	1	0.0015
PYCARD	Loss	0	0.0000
QPRT	Germline	2	0.0015
QPRT	Somatic	0	0.0000
QPRT	Loss	0	0.0000
RAB22A	Germline	0	0.0000
RAB22A	Somatic	2	0.0030
RAB22A	Loss	0	0.0000
RAD23B	Germline	0	0.0000
RAD23B	Somatic	1	0.0015
RAD23B	Loss	0	0.0000
RAD51AP1	Germline	0	0.0000
RAD51AP1	Somatic	1	0.0015
RAD51AP1	Loss	0	0.0000
RANBP1	Germline	0	0.0000
RANBP1	Somatic	1	0.0015
RANBP1	Loss	0	0.0000
RAP1GDS1	Germline	0	0.0000
RAP1GDS1	Somatic	1	0.0015
RAP1GDS1	Loss	0	0.0000
RBBP8	Germline	0	0.0000
RBBP8	Somatic	1	0.0015
RBBP8	Loss	0	0.0000
RBM19	Germline	0	0.0000
RBM19	Somatic	1	0.0015
RBM19	Loss	0	0.0000
RBMX	Germline	0	0.0000
RBMX	Somatic	1	0.0015
RBMX	Loss	0	0.0000
RCBTB2	Germline	0	0.0000
RCBTB2	Somatic	1	0.0015
RCBTB2	Loss	0	0.0000
RCN2	Germline	0	0.0000
RCN2	Somatic	1	0.0015
RCN2	Loss	0	0.0000
RCOR3	Germline	2	0.0015
RCOR3	Somatic	0	0.0000
RCOR3	Loss	0	0.0000
RG9MTD1	Germline	2	0.0015
RG9MTD1	Somatic	89	0.1342
RG9MTD1	Loss	0	0.0000
RIOK3	Germline	0	0.0000
RIOK3	Somatic	1	0.0015
RIOK3	Loss	0	0.0000
RIPK2	Germline	0	0.0000
RIPK2	Somatic	1	0.0015
RIPK2	Loss	0	0.0000
RNASEH2B	Germline	0	0.0000
RNASEH2B	Somatic	1	0.0015
RNASEH2B	Loss	0	0.0000
RNF130	Germline	0	0.0000
RNF130	Somatic	1	0.0015
RNF130	Loss	0	0.0000
RNF20	Germline	0	0.0000
RNF20	Somatic	2	0.0030
RNF20	Loss	0	0.0000
RPL10	Germline	2	0.0015
RPL10	Somatic	2	0.0030
RPL10	Loss	0	0.0000
RPL18	Germline	0	0.0000
RPL18	Somatic	1	0.0015
RPL18	Loss	0	0.0000
RPL22	Germline	2	0.0015
RPL22	Somatic	0	0.0000
RPL22	Loss	0	0.0000
RPL26	Germline	2	0.0015
RPL26	Somatic	0	0.0000
RPL26	Loss	0	0.0000
RPL30	Germline	0	0.0000
RPL30	Somatic	3	0.0045
RPL30	Loss	0	0.0000
RPL32	Germline	0	0.0000
RPL32	Somatic	4	0.0060
RPL32	Loss	0	0.0000
RPL35A	Germline	0	0.0000
RPL35A	Somatic	2	0.0030
RPL35A	Loss	0	0.0000
RPL37	Germline	0	0.0000
RPL37	Somatic	1	0.0015
RPL37	Loss	0	0.0000
RPL37A	Germline	44	0.0332
RPL37A	Somatic	0	0.0000
RPL37A	Loss	0	0.0000
RPL5	Germline	0	0.0000
RPL5	Somatic	1	0.0015
RPL5	Loss	0	0.0000
RPL6	Germline	0	0.0000
RPL6	Somatic	1	0.0015
RPL6	Loss	0	0.0000
RPL7A	Germline	0	0.0000
RPL7A	Somatic	3	0.0045
RPL7A	Loss	0	0.0000
RPL7L1	Germline	0	0.0000
RPL7L1	Somatic	1	0.0015
RPL7L1	Loss	0	0.0000
RPL8	Germline	0	0.0000
RPL8	Somatic	1	0.0015
RPL8	Loss	0	0.0000
RPLP0	Germline	0	0.0000
RPLP0	Somatic	2	0.0030
RPLP0	Loss	0	0.0000
RPLP1	Germline	0	0.0000
RPLP1	Somatic	4	0.0060
RPLP1	Loss	0	0.0000
RPLP2	Germline	0	0.0000
RPLP2	Somatic	1	0.0015
RPLP2	Loss	0	0.0000
RPS11	Germline	0	0.0000
RPS11	Somatic	2	0.0030
RPS11	Loss	0	0.0000
RPS19BP1	Germline	0	0.0000
RPS19BP1	Somatic	1	0.0015
RPS19BP1	Loss	0	0.0000
RPS2	Germline	98	0.0739
RPS2	Somatic	1	0.0015
RPS2	Loss	0	0.0000
RPS24	Germline	0	0.0000
RPS24	Somatic	1	0.0015
RPS24	Loss	0	0.0000
RPS29	Germline	2	0.0015
RPS29	Somatic	0	0.0000
RPS29	Loss	0	0.0000
RPS3	Germline	2	0.0015
RPS3	Somatic	0	0.0000
RPS3	Loss	0	0.0000
RPS3A	Germline	0	0.0000
RPS3A	Somatic	2	0.0030
RPS3A	Loss	0	0.0000
RPS4X	Germline	0	0.0000
RPS4X	Somatic	1	0.0015
RPS4X	Loss	0	0.0000
RPS8	Germline	0	0.0000
RPS8	Somatic	1	0.0015
RPS8	Loss	0	0.0000
RRM2	Germline	0	0.0000
RRM2	Somatic	2	0.0030
RRM2	Loss	0	0.0000
RSL24D1	Germline	0	0.0000
RSL24D1	Somatic	1	0.0015
RSL24D1	Loss	0	0.0000
RUVBL1	Germline	0	0.0000
RUVBL1	Somatic	1	0.0015
RUVBL1	Loss	0	0.0000
RWDD1	Germline	0	0.0000
RWDD1	Somatic	1	0.0015
RWDD1	Loss	0	0.0000
S100A10	Germline	0	0.0000
S100A10	Somatic	1	0.0015
S100A10	Loss	0	0.0000
S100A11	Germline	0	0.0000
S100A11	Somatic	9	0.0136
S100A11	Loss	0	0.0000
S100A6	Germline	0	0.0000
S100A6	Somatic	2	0.0030
S100A6	Loss	0	0.0000
S100A7	Germline	0	0.0000
S100A7	Somatic	1	0.0015
S100A7	Loss	0	0.0000
SAFB	Germline	0	0.0000
SAFB	Somatic	1	0.0015
SAFB	Loss	0	0.0000
SALL4	Germline	2	0.0015
SALL4	Somatic	0	0.0000
SALL4	Loss	0	0.0000
SART1	Germline	0	0.0000
SART1	Somatic	1	0.0015
SART1	Loss	0	0.0000
SAV1	Germline	0	0.0000
SAV1	Somatic	1	0.0015
SAV1	Loss	0	0.0000
SBDS	Germline	0	0.0000
SBDS	Somatic	1	0.0015
SBDS	Loss	0	0.0000
SDAD1	Germline	0	0.0000
SDAD1	Somatic	1	0.0015
SDAD1	Loss	0	0.0000
SDHC	Germline	0	0.0000
SDHC	Somatic	1	0.0015
SDHC	Loss	0	0.0000
SEC23IP	Germline	0	0.0000
SEC23IP	Somatic	1	0.0015
SEC23IP	Loss	0	0.0000
SEC61B	Germline	0	0.0000
SEC61B	Somatic	2	0.0030
SEC61B	Loss	0	0.0000
SEC61G	Germline	0	0.0000
SEC61G	Somatic	1	0.0015
SEC61G	Loss	0	0.0000
SELT	Germline	0	0.0000
SELT	Somatic	1	0.0015
SELT	Loss	0	0.0000
SERF2	Germline	0	0.0000
SERF2	Somatic	1	0.0015
SERF2	Loss	0	0.0000
SERPINE2	Germline	0	0.0000
SERPINE2	Somatic	1	0.0015
SERPINE2	Loss	0	0.0000
SET	Germline	2	0.0015
SET	Somatic	0	0.0000
SET	Loss	0	0.0000
SF3B14	Germline	0	0.0000
SF3B14	Somatic	1	0.0015
SF3B14	Loss	0	0.0000
SFPQ	Germline	0	0.0000
SFPQ	Somatic	1	0.0015
SFPQ	Loss	0	0.0000
SH3BGRL	Germline	0	0.0000
SH3BGRL	Somatic	1	0.0015
SH3BGRL	Loss	0	0.0000
SHMT1	Germline	0	0.0000
SHMT1	Somatic	1	0.0015
SHMT1	Loss	0	0.0000
SIKE1	Germline	42	0.0317
SIKE1	Somatic	0	0.0000
SIKE1	Loss	0	0.0000
SKA2	Germline	0	0.0000
SKA2	Somatic	1	0.0015
SKA2	Loss	0	0.0000
SKA3	Germline	470	0.3544
SKA3	Somatic	0	0.0000
SKA3	Loss	3	0.0045
SLC25A5	Germline	0	0.0000
SLC25A5	Somatic	1	0.0015
SLC25A5	Loss	0	0.0000
SLC35A5	Germline	0	0.0000
SLC35A5	Somatic	1	0.0015
SLC35A5	Loss	0	0.0000
SLTM	Germline	0	0.0000
SLTM	Somatic	1	0.0015
SLTM	Loss	0	0.0000
SMAD2	Germline	0	0.0000
SMAD2	Somatic	1	0.0015
SMAD2	Loss	0	0.0000
SMARCA4	Germline	0	0.0000
SMARCA4	Somatic	1	0.0015
SMARCA4	Loss	0	0.0000
SMN2	Germline	0	0.0000
SMN2	Somatic	1	0.0015
SMN2	Loss	0	0.0000
SNHG1	Germline	0	0.0000
SNHG1	Somatic	2	0.0030
SNHG1	Loss	0	0.0000
SNHG8	Germline	0	0.0000
SNHG8	Somatic	1	0.0015
SNHG8	Loss	0	0.0000
SNIP1	Germline	0	0.0000
SNIP1	Somatic	1	0.0015
SNIP1	Loss	0	0.0000
SNORD80	Germline	0	0.0000
SNORD80	Somatic	2	0.0030
SNORD80	Loss	0	0.0000
SNRPD1	Germline	2	0.0015
SNRPD1	Somatic	0	0.0000
SNRPD1	Loss	0	0.0000
SNRPD2	Germline	0	0.0000
SNRPD2	Somatic	1	0.0015
SNRPD2	Loss	0	0.0000
SNRPF	Germline	0	0.0000
SNRPF	Somatic	1	0.0015
SNRPF	Loss	0	0.0000
SNRPG	Germline	0	0.0000
SNRPG	Somatic	1	0.0015
SNRPG	Loss	0	0.0000
SNRPN	Germline	2	0.0015
SNRPN	Somatic	1	0.0015
SNRPN	Loss	0	0.0000
SNW1	Germline	0	0.0000
SNW1	Somatic	1	0.0015
SNW1	Loss	0	0.0000
SPATS2L	Germline	0	0.0000
SPATS2L	Somatic	1	0.0015
SPATS2L	Loss	0	0.0000
SPDYE8P	Germline	0	0.0000
SPDYE8P	Somatic	1	0.0015
SPDYE8P	Loss	0	0.0000
SPRR1B	Germline	0	0.0000
SPRR1B	Somatic	2	0.0030
SPRR1B	Loss	0	0.0000
SPTAN1	Germline	0	0.0000
SPTAN1	Somatic	1	0.0015
SPTAN1	Loss	0	0.0000
SPTBN1	Germline	0	0.0000
SPTBN1	Somatic	2	0.0030
SPTBN1	Loss	0	0.0000
SRP72	Germline	0	0.0000
SRP72	Somatic	1	0.0015
SRP72	Loss	0	0.0000
SRRM1	Germline	0	0.0000
SRRM1	Somatic	1	0.0015
SRRM1	Loss	0	0.0000
SRSF2	Germline	0	0.0000
SRSF2	Somatic	1	0.0015
SRSF2	Loss	0	0.0000
SSBP1	Germline	0	0.0000
SSBP1	Somatic	4	0.0060
SSBP1	Loss	0	0.0000
SSR4	Germline	0	0.0000
SSR4	Somatic	1	0.0015
SSR4	Loss	0	0.0000
SSRP1	Germline	0	0.0000
SSRP1	Somatic	1	0.0015
SSRP1	Loss	0	0.0000
SSX2IP	Germline	0	0.0000
SSX2IP	Somatic	1	0.0015
SSX2IP	Loss	0	0.0000
ST13	Germline	0	0.0000
ST13	Somatic	1	0.0015
ST13	Loss	0	0.0000
STMN1	Germline	0	0.0000
STMN1	Somatic	1	0.0015
STMN1	Loss	0	0.0000
SULF2	Germline	0	0.0000
SULF2	Somatic	1	0.0015
SULF2	Loss	0	0.0000
SUMO2	Germline	0	0.0000
SUMO2	Somatic	3	0.0045
SUMO2	Loss	0	0.0000
SUN1	Germline	0	0.0000
SUN1	Somatic	1	0.0015
SUN1	Loss	0	0.0000
SUZ12	Germline	0	0.0000
SUZ12	Somatic	1	0.0015
SUZ12	Loss	0	0.0000
SVIL	Germline	0	0.0000
SVIL	Somatic	2	0.0030
SVIL	Loss	0	0.0000
SYTL2	Germline	386	0.2911
SYTL2	Somatic	2	0.0030
SYTL2	Loss	0	0.0000
TBC1D11	Germline	0	0.0000
TBC1D11	Somatic	1	0.0015
TBC1D11	Loss	0	0.0000
TBC1D19	Germline	0	0.0000
TBC1D19	Somatic	1	0.0015
TBC1D19	Loss	0	0.0000
TCAM-1	Germline	0	0.0000
TCAM-1	Somatic	0	0.0000
TCAM-1	Loss	1	0.0015
TCF3	Germline	0	0.0000
TCF3	Somatic	1	0.0015
TCF3	Loss	0	0.0000
TCRBV5S6A3N2T	Germline	2	0.0015
TCRBV5S6A3N2T	Somatic	0	0.0000
TCRBV5S6A3N2T	Loss	0	0.0000
TCTA	Germline	0	0.0000
TCTA	Somatic	1	0.0015
TCTA	Loss	0	0.0000
TDG	Germline	1282	0.9668
TDG	Somatic	0	0.0000
TDG	Loss	0	0.0000
TFDP2	Germline	0	0.0000
TFDP2	Somatic	1	0.0015
TFDP2	Loss	0	0.0000
THBS3	Germline	0	0.0000
THBS3	Somatic	1	0.0015
THBS3	Loss	0	0.0000
THOC1	Germline	0	0.0000
THOC1	Somatic	1	0.0015
THOC1	Loss	0	0.0000
TIMM17A	Germline	0	0.0000
TIMM17A	Somatic	1	0.0015
TIMM17A	Loss	0	0.0000
TIMM17B	Germline	2	0.0015
TIMM17B	Somatic	0	0.0000
TIMM17B	Loss	0	0.0000
TLN1	Germline	0	0.0000
TLN1	Somatic	1	0.0015
TLN1	Loss	0	0.0000
TMBIM6	Germline	0	0.0000
TMBIM6	Somatic	1	0.0015
TMBIM6	Loss	0	0.0000
TMEM111	Germline	0	0.0000
TMEM111	Somatic	1	0.0015
TMEM111	Loss	0	0.0000
TMEM123	Germline	0	0.0000
TMEM123	Somatic	1	0.0015
TMEM123	Loss	0	0.0000
TMEM14A	Germline	0	0.0000
TMEM14A	Somatic	1	0.0015
TMEM14A	Loss	0	0.0000
TMEM14C	Germline	0	0.0000
TMEM14C	Somatic	1	0.0015
TMEM14C	Loss	0	0.0000
TMEM167B	Germline	0	0.0000
TMEM167B	Somatic	1	0.0015
TMEM167B	Loss	0	0.0000
TMEM63B	Germline	0	0.0000
TMEM63B	Somatic	1	0.0015
TMEM63B	Loss	0	0.0000
TMEM64	Germline	2	0.0015
TMEM64	Somatic	0	0.0000
TMEM64	Loss	0	0.0000
TMEM66	Germline	2	0.0015
TMEM66	Somatic	0	0.0000
TMEM66	Loss	0	0.0000
TOP2A	Germline	0	0.0000
TOP2A	Somatic	2	0.0030
TOP2A	Loss	0	0.0000
TP53RK	Germline	0	0.0000
TP53RK	Somatic	1	0.0015
TP53RK	Loss	0	0.0000
TPM4	Germline	2	0.0015
TPM4	Somatic	0	0.0000
TPM4	Loss	0	0.0000
TPST2	Germline	2	0.0015
TPST2	Somatic	0	0.0000
TPST2	Loss	0	0.0000
TPX2	Germline	0	0.0000
TPX2	Somatic	1	0.0015
TPX2	Loss	0	0.0000
TRA2B	Germline	0	0.0000
TRA2B	Somatic	1	0.0015
TRA2B	Loss	0	0.0000
TRIP11	Germline	0	0.0000
TRIP11	Somatic	1	0.0015
TRIP11	Loss	0	0.0000
TROVE2	Germline	0	0.0000
TROVE2	Somatic	1	0.0015
TROVE2	Loss	0	0.0000
TRUB1	Germline	0	0.0000
TRUB1	Somatic	1	0.0015
TRUB1	Loss	0	0.0000
TSHZ1	Germline	0	0.0000
TSHZ1	Somatic	1	0.0015
TSHZ1	Loss	0	0.0000
TSPAN6	Germline	0	0.0000
TSPAN6	Somatic	1	0.0015
TSPAN6	Loss	0	0.0000
TSTA3	Germline	0	0.0000
TSTA3	Somatic	1	0.0015
TSTA3	Loss	0	0.0000
TTC28-AS1	Germline	0	0.0000
TTC28-AS1	Somatic	1	0.0015
TTC28-AS1	Loss	0	0.0000
TUBB	Germline	0	0.0000
TUBB	Somatic	3	0.0045
TUBB	Loss	0	0.0000
TUBB2C	Germline	0	0.0000
TUBB2C	Somatic	1	0.0015
TUBB2C	Loss	0	0.0000
TXNDC17	Germline	0	0.0000
TXNDC17	Somatic	1	0.0015
TXNDC17	Loss	0	0.0000
TXNL1	Germline	0	0.0000
TXNL1	Somatic	1	0.0015
TXNL1	Loss	0	0.0000
TXNL4A	Germline	0	0.0000
